key,run_counts,run_partition,chi_squared,p_value
0100000010,[4 0 0 0 0 1 0 0 0 0],[1 1 6 1 1],19.119047619047617,0.072265625
0111111010,[4 0 0 0 0 1 0 0 0 0],[1 6 1 1 1],19.119047619047617,0.072265625
0101000000,[4 0 0 0 0 1 0 0 0 0],[1 1 1 1 6],19.119047619047617,0.072265625
1111110101,[4 0 0 0 0 1 0 0 0 0],[6 1 1 1 1],19.119047619047617,0.072265625
1010000001,[4 0 0 0 0 1 0 0 0 0],[1 1 1 6 1],19.119047619047617,0.072265625
0000001010,[4 0 0 0 0 1 0 0 0 0],[6 1 1 1 1],19.119047619047617,0.072265625
0101111110,[4 0 0 0 0 1 0 0 0 0],[1 1 1 6 1],19.119047619047617,0.072265625
0101010101,[10  0  0  0  0  0  0  0  0  0],[1 1 1 1 1 1 1 1 1 1],18.833333333333332,0.07421875
1010101010,[10  0  0  0  0  0  0  0  0  0],[1 1 1 1 1 1 1 1 1 1],18.833333333333332,0.07421875
0110111111,[2 1 0 0 0 1 0 0 0 0],[1 2 1 6],17.846320346320347,0.09765625
0000001001,[2 1 0 0 0 1 0 0 0 0],[6 1 2 1],17.846320346320347,0.09765625
1011000000,[2 1 0 0 0 1 0 0 0 0],[1 1 2 6],17.846320346320347,0.09765625
0010000001,[2 1 0 0 0 1 0 0 0 0],[2 1 6 1],17.846320346320347,0.09765625
1011111100,[2 1 0 0 0 1 0 0 0 0],[1 1 6 2],17.846320346320347,0.09765625
1001111110,[2 1 0 0 0 1 0 0 0 0],[1 2 6 1],17.846320346320347,0.09765625
1100000010,[2 1 0 0 0 1 0 0 0 0],[2 6 1 1],17.846320346320347,0.09765625
1101111110,[2 1 0 0 0 1 0 0 0 0],[2 1 6 1],17.846320346320347,0.09765625
0111111011,[2 1 0 0 0 1 0 0 0 0],[1 6 1 2],17.846320346320347,0.09765625
0110000001,[2 1 0 0 0 1 0 0 0 0],[1 2 6 1],17.846320346320347,0.09765625
0000001101,[2 1 0 0 0 1 0 0 0 0],[6 2 1 1],17.846320346320347,0.09765625
1001000000,[2 1 0 0 0 1 0 0 0 0],[1 2 1 6],17.846320346320347,0.09765625
0000001011,[2 1 0 0 0 1 0 0 0 0],[6 1 1 2],17.846320346320347,0.09765625
0100111111,[2 1 0 0 0 1 0 0 0 0],[1 1 2 6],17.846320346320347,0.09765625
0111111001,[2 1 0 0 0 1 0 0 0 0],[1 6 2 1],17.846320346320347,0.09765625
0100000011,[2 1 0 0 0 1 0 0 0 0],[1 1 6 2],17.846320346320347,0.09765625
1000000100,[2 1 0 0 0 1 0 0 0 0],[1 6 1 2],17.846320346320347,0.09765625
0011111101,[2 1 0 0 0 1 0 0 0 0],[2 6 1 1],17.846320346320347,0.09765625
1101000000,[2 1 0 0 0 1 0 0 0 0],[2 1 1 6],17.846320346320347,0.09765625
1111110110,[2 1 0 0 0 1 0 0 0 0],[6 1 2 1],17.846320346320347,0.09765625
0010111111,[2 1 0 0 0 1 0 0 0 0],[2 1 1 6],17.846320346320347,0.09765625
1000000110,[2 1 0 0 0 1 0 0 0 0],[1 6 2 1],17.846320346320347,0.09765625
1111110100,[2 1 0 0 0 1 0 0 0 0],[6 1 1 2],17.846320346320347,0.09765625
1111110010,[2 1 0 0 0 1 0 0 0 0],[6 2 1 1],17.846320346320347,0.09765625
1111000011,[0 1 0 2 0 0 0 0 0 0],[4 4 2],14.449494949494948,0.103515625
0000110000,[0 1 0 2 0 0 0 0 0 0],[4 2 4],14.449494949494948,0.103515625
0011110000,[0 1 0 2 0 0 0 0 0 0],[2 4 4],14.449494949494948,0.103515625
0000111100,[0 1 0 2 0 0 0 0 0 0],[4 4 2],14.449494949494948,0.103515625
1111001111,[0 1 0 2 0 0 0 0 0 0],[4 2 4],14.449494949494948,0.103515625
1100001111,[0 1 0 2 0 0 0 0 0 0],[2 4 4],14.449494949494948,0.103515625
0011001100,[0 5 0 0 0 0 0 0 0 0],[2 2 2 2 2],13.681818181818182,0.10546875
1100110011,[0 5 0 0 0 0 0 0 0 0],[2 2 2 2 2],13.681818181818182,0.10546875
1111011110,[2 0 0 2 0 0 0 0 0 0],[4 1 4 1],13.055555555555555,0.1171875
1000011110,[2 0 0 2 0 0 0 0 0 0],[1 4 4 1],13.055555555555555,0.1171875
0000111101,[2 0 0 2 0 0 0 0 0 0],[4 4 1 1],13.055555555555555,0.1171875
1111010000,[2 0 0 2 0 0 0 0 0 0],[4 1 1 4],13.055555555555555,0.1171875
0000101111,[2 0 0 2 0 0 0 0 0 0],[4 1 1 4],13.055555555555555,0.1171875
1111000010,[2 0 0 2 0 0 0 0 0 0],[4 4 1 1],13.055555555555555,0.1171875
0000100001,[2 0 0 2 0 0 0 0 0 0],[4 1 4 1],13.055555555555555,0.1171875
0111101111,[2 0 0 2 0 0 0 0 0 0],[1 4 1 4],13.055555555555555,0.1171875
1011110000,[2 0 0 2 0 0 0 0 0 0],[1 1 4 4],13.055555555555555,0.1171875
0100001111,[2 0 0 2 0 0 0 0 0 0],[1 1 4 4],13.055555555555555,0.1171875
1000010000,[2 0 0 2 0 0 0 0 0 0],[1 4 1 4],13.055555555555555,0.1171875
0111100001,[2 0 0 2 0 0 0 0 0 0],[1 4 4 1],13.055555555555555,0.1171875
1110001110,[1 0 3 0 0 0 0 0 0 0],[3 3 3 1],12.233333333333334,0.125
0111000111,[1 0 3 0 0 0 0 0 0 0],[1 3 3 3],12.233333333333334,0.125
0001110111,[1 0 3 0 0 0 0 0 0 0],[3 3 1 3],12.233333333333334,0.125
1110001000,[1 0 3 0 0 0 0 0 0 0],[3 3 1 3],12.233333333333334,0.125
1000111000,[1 0 3 0 0 0 0 0 0 0],[1 3 3 3],12.233333333333334,0.125
0001000111,[1 0 3 0 0 0 0 0 0 0],[3 1 3 3],12.233333333333334,0.125
0001110001,[1 0 3 0 0 0 0 0 0 0],[3 3 3 1],12.233333333333334,0.125
1110111000,[1 0 3 0 0 0 0 0 0 0],[3 1 3 3],12.233333333333334,0.125
